WILAYA,COMMUNE,ADRESSE,LOCALISATION MAPS,ASSOCIATION,NUM1,NUM2,NUM3,AGREE
ALGER,BELOUIZDAD - BELCOURT,Cercle Sportif CRB,https://maps.app.goo.gl/WHoRHcejh6Xifo1x9,جمعية القلوب الرحيمة,556714354,552310515,,OUI
ALGER,BELOUIZDAD - BELCOURT,ساحة 11 ديسمبر المركز الثقافي لخضر رباح ,https://maps.app.goo.gl/qSbsmi9xaJPa2abT9,Sanabel Elkheir,553498248,540000020,674496048,OUI
ALGER,BELOUIZDAD - BELCOURT,ساحة 11 ديسمبر المركز الثقافي لخضر رباح ,https://maps.app.goo.gl/qSbsmi9xaJPa2abT9,Chich Dir El Khir,664351125,,,OUI
ALGER,BELOUIZDAD - BELCOURT,ش.ل.م عمارة ك الفوج الأول بلدية محمد بلوزداد مقر فوج النصر,https://maps.app.goo.gl/sBujbLQaE9HLung2A,الكشافة الاسلامية,777156125,,,OUI
ALGER,BOUZAREAH,حي بوحمام (بجانب مسجد الاحسان),https://maps.app.goo.gl/i2mnJQwVcwYRnY8P7,الكشافة الاسلامية,549939849,782647003,,OUI
ALGER,BOUZAREAH,Bouzareah,https://maps.app.goo.gl/7krvWvssLSofGsLK9,organisation felicartis dz,558933521,,,OUI
ALGER,BOUZAREAH,Bazard salhi,https://maps.app.goo.gl/7krvWvssLSofGsLK9,/,666596980,,,NON
ALGER,ROUIBA,Placette du stade,https://maps.app.goo.gl/RsLL6XKst5QxfyiQ8,/,,,,NON
ALGER,ROUIBA,Sbaat - Chef Amirou,https://maps.app.goo.gl/vvTooJGa4QrEPBGD6,جمعية ,540551544,,,OUI
ALGER,EL BIAR,Ministere de la justice,https://maps.app.goo.gl/ZUeWy5vGhxAaKgsd7,,,,,NON
ALGER,EL BIAR,"en face 
Sonelgaz Sda Agence El Biar",https://maps.app.goo.gl/36oxj3khHBjxmbUm9,/,,,,NON
ALGER,SIDI MHAMMED,APC - المجلس الشعبي البلدي,https://maps.app.goo.gl/492PQKcZPMgSLL5aA,المجلس الشعبي البلدي,,,,OUI
ALGER,DRARIA,En face casa bella grillades,https://maps.app.goo.gl/kJZd6a6h7sGhvJ1p8,جمعية سواعد الاحسان,776512581,,,OUI
ALGER,DRARIA,Daboussi - Mosque Hamza,https://maps.app.goo.gl/9wQ2GS4x1eGMmp9k7,/,,,,NON
ALGER,DRARIA,El achour et draria,,Associaction nour el amal,781302450,,,OUI
ALGER,DRARIA,cite 617,https://maps.app.goo.gl/aoE5pWYW8gsw4f7X6,/,,,,NON
ALGER,KOUBA,Gendarmerie - sortie bourouba,,Croissant rouge,550147483,563635922,561837094,OUI
ALGER,KOUBA,En face Stade Ben omar,https://maps.app.goo.gl/19UKwoGmAS2jYwmw5,/,,,,NON
ALGER,KOUBA,Les annasers,https://maps.app.goo.gl/Nzg6WWCtg7t4tPRXA,/,796062315,,,NON
ALGER,KOUBA,"Villa 120 ferme PONS, Kouba 
",https://maps.app.goo.gl/w5ruUKzoki7t8oiE7,Association piete et bienfaisance,542087613,560000840,,OUI
ALGER,KOUBA,Garidi 2 arret de bus,https://maps.app.goo.gl/xYstFJAhxefAWiLt8,الكشافة الاسلامية,793216013,,,OUI
ALGER,KOUBA,Supérette sifou joli vue,https://maps.app.goo.gl/vHTDsXo3jyQhZkAp7,/,783186861,,,NON
ALGER,KOUBA,en face cem amir khaled (la croix),"
https://maps.app.goo.gl/tMb75WNnjifwG99eA",/,,,,NON
ALGER,BARAKI,Mosque Al Rahman,https://maps.app.goo.gl/KXNqP2ppEy2AW7M68,/,554075803,,,NON
ALGER,BARAKI,Pharmacie Harkat,https://maps.app.goo.gl/toWZrUHnyYLePZr97,/,28482656,556500591,,NON
ALGER,SIDI ABDELLAH,Pharmacie Derradji,https://maps.app.goo.gl/Eh3ACqyfnYY9qn2R7,/,553784059,,,NON
ALGER,BIRKHADEM,Pharmacie Serapi,https://maps.app.goo.gl/vpqs4XMW3Vp9Xfij9,/,552104628,552679102,,NON
ALGER,BIRKHADEM,"A cote de l'hôpital de Tixeraine
",https://maps.app.goo.gl/uQxSNJKzJxr4Z8cv6,/,557020518,,,NON
ALGER,BIRKHADEM,"Groupe Elfidah birkhadem - Scouts Islamiques Algériens",https://maps.app.goo.gl/iccPE9REZggApupv7,الكشافة الاسلامية,791200592,,,OUI
ALGER,BIRKHADEM,مسجد التوبة بئرخادم,https://maps.app.goo.gl/JoKPiDP82M87FefT8,/,,,,NON
ALGER,BEN AKNOUN,Cercle sportif,https://maps.app.goo.gl/Lqzc7p7NC5fx6pHy9,/,770993207,,,NON
ALGER,BAB EZZOUAR,5 juillet,https://maps.app.goo.gl/G8UX2DhScQ7Jmv6Z7,جمعية شباب رائد ,774140045,553424540,,OUI
ALGER,BAB EZZOUAR,حي الصومام,https://maps.app.goo.gl/Tr1pbsALd1rHmKm88,/,797879113,,,NON
ALGER,BIR MOURAD RAIS,COPMED - En face Seaal,https://maps.app.goo.gl/Hn7R3XFDcKAw9TATA,/,798785027,549571518,,NON
ALGER,BIR MOURAD RAIS,Mosquee El Djihad El Akbar,https://maps.app.goo.gl/QgLRZYASeCRegegn8,الكشافة الاسلامية,676455871,,,OUI
ALGER,BIR MOURAD RAIS,"مدرسة قرأنية - شيخ أحمد سحنون",https://maps.app.goo.gl/oysCg3xgk5fJ5u8B8,/,,,,NON
ALGER,RUISSEAU ,Stade 20 aout ,https://maps.app.goo.gl/Zwd5ZXJHSz5fVZi87,/,780060119,,,NON
ALGER,BORDJ EL BAHRI,Jardin Bordj El Bahri,https://maps.app.goo.gl/32FaigYQnKqbXoRD7,الكشافة الاسلامية,798584659,773083814,,OUI
ALGER,BORDJ EL BAHRI,حي احدان,,/,796698263,,,NON
ALGER,OULED FAYET,Rond point - Opera,https://maps.app.goo.gl/hMuWAaxK9Ptwh7Jp6,/,,,,NON
ALGER,VAL D'HYDRA,Val d'hydra,,/,554669211,,,NON
ALGER,SAID HAMDINE,Said hamdine,,/,,563540450,,NON
ALGER,CHERAGA,Hotel Emir,https://maps.app.goo.gl/rVKkzJtHFnfKjcCt5,/,,,563795557,NON
ALGER,CHERAGA,قاعة متعددة الرياضات الشهيد بلخضر الطاهر,https://maps.app.goo.gl/23r9GwAUQdTqUPGj7,/,,,,NON
ALGER,CHERAGA,Power fitness,https://maps.app.goo.gl/oNdLekJFm91oP5Xn7,/,,,,NON
ALGER,CHERAGA,Pharmacie Amara ,https://maps.app.goo.gl/ELgHTzvp49qF8q9D9,/,,,,NON
ALGER,LES BANANIERS ,Mokhtar Zerhouni,https://maps.app.goo.gl/o4nz4GVEbD4TKGhm7,/,781399142,541007432,558724196,NON
ALGER,REGHAIA,Centre ville en face poste police,https://maps.app.goo.gl/bLiyrYFmRaj6QBTX7,/,797549826,779093801,,NON
ALGER,REGHAIA,Aadl el kerrouch reghaia,https://maps.app.goo.gl/LFUjg6EtpaA1Smq56,/,,,,NON
ALGER,ZERALDA,متوسطة محمد خوجة,https://maps.app.goo.gl/gLEns2TEL7RuqnGy7,/,,,,NON
ALGER,BAB EL OUED,KITANI,https://maps.app.goo.gl/cT22y6yR5KHCcJos5,/,,,,NON
